type,subject,grade,difficulty,language,question,statement,answers,correct_index,correct_answer,explanation,unit,image_url,tags,time_limit,created_at,updated_at
true-false,math,2,4,en,,77 is an even number.,,,False,Even numbers are divisible by 2.,,,"[""math"", ""true-false"", ""en"", ""grade-2"", ""diff-4""]",27200,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
multiple-choice,math,3,1,en,What is 93 − 9?,,"[""86"", ""85"", ""83"", ""84""]",3,,The correct result is 84.,,,"[""math"", ""arithmetic"", ""en"", ""grade-3"", ""diff-1""]",11200,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
true-false,language,5,3,en,,"In English, a sentence must start with a capital letter.",,,True,This is a standard grammar rule.,,,"[""language"", ""true-false"", ""en"", ""grade-5"", ""diff-3""]",14000,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
multiple-choice,math,3,1,fr,Combien font 23 + 23 ?,,"[""46"", ""45"", ""48"", ""47""]",0,,Le résultat correct est 46.,,,"[""math"", ""arithmetic"", ""fr"", ""grade-3"", ""diff-1""]",11200,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
true-false,general-knowledge,4,4,en,,"At sea level, water boils at 100°C.",,,True,Boiling point of water at sea level is 100°C.,,,"[""general-knowledge"", ""true-false"", ""en"", ""grade-4"", ""diff-4""]",20400,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
true-false,general-knowledge,5,1,de,,Auf Meereshöhe kocht Wasser bei 100°C.,,,True,Siedepunkt von Wasser auf Meereshöhe ist 100°C.,,,"[""general-knowledge"", ""true-false"", ""de"", ""grade-5"", ""diff-1""]",8000,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
multiple-choice,math,2,1,en,What is 9 × 12?,,"[""108"", ""110"", ""104"", ""111""]",0,,The correct result is 108.,,,"[""math"", ""arithmetic"", ""en"", ""grade-2"", ""diff-1""]",12800,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
number-input,language,4,3,en,How many letters are in the word 'giraffe'?,,,,7,Count the letters in the word.,,,"[""language"", ""spelling"", ""en"", ""grade-4"", ""diff-3""]",16800,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
multiple-choice,geography,4,3,fr,Sur quel continent se trouve Spain ?,,"[""Asia"", ""Antarctica"", ""Africa"", ""Europe""]",3,,Spain se trouve en Europe.,,,"[""geography"", ""continents"", ""fr"", ""grade-4"", ""diff-3""]",16800,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
multiple-choice,general-knowledge,3,3,fr,"Dans une chaîne alimentaire, qu'est-ce qui est une plante ?",,"[""Producteur"", ""Consommateur"", ""D\u00e9composeur"", ""Pr\u00e9dateur""]",0,,Les plantes sont des producteurs.,,,"[""general-knowledge"", ""fr"", ""grade-3"", ""diff-3""]",19600,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
