id,school_id,created_by,type,subject_id,subject,grade,difficulty,language,question,statement,answers,correct_index,correct_answer,explanation,unit,image_url,tags,time_limit,lehrplan21_topic,is_active,created_at,updated_at
33e6c91f-6163-4016-b790-e435749afbd5,90db317f-4989-421b-b0e2-5888e06fd22d,d37e0fc8-da07-4191-a037-de021fc1ded9,true-false,9f9067f9-9e39-4e38-944f-6701b837981b,math,2,4,en,,77 is an even number.,,,False,Even numbers are divisible by 2.,,,"[""math"", ""true-false"", ""en"", ""grade-2"", ""diff-4""]",27200,MA.1.A.2,True,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
07da5776-f057-42b7-80e1-6fdd5fb427dc,90db317f-4989-421b-b0e2-5888e06fd22d,d37e0fc8-da07-4191-a037-de021fc1ded9,multiple-choice,9f9067f9-9e39-4e38-944f-6701b837981b,math,3,1,en,What is 93 − 9?,,"[""86"", ""85"", ""83"", ""84""]",3,,The correct result is 84.,,,"[""math"", ""arithmetic"", ""en"", ""grade-3"", ""diff-1""]",11200,MA.2.A.3,True,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
b22d7e29-dc8d-462d-bc3e-246ec585975e,90db317f-4989-421b-b0e2-5888e06fd22d,d37e0fc8-da07-4191-a037-de021fc1ded9,true-false,9f7cac5d-a898-4073-a7cb-458fe6289d23,language,5,3,en,,"In English, a sentence must start with a capital letter.",,,True,This is a standard grammar rule.,,,"[""language"", ""true-false"", ""en"", ""grade-5"", ""diff-3""]",14000,D.6.A.1,True,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
ab75224c-f21f-4e29-852d-d1302790c169,90db317f-4989-421b-b0e2-5888e06fd22d,d37e0fc8-da07-4191-a037-de021fc1ded9,multiple-choice,9f9067f9-9e39-4e38-944f-6701b837981b,math,3,1,fr,Combien font 23 + 23 ?,,"[""46"", ""45"", ""48"", ""47""]",0,,Le résultat correct est 46.,,,"[""math"", ""arithmetic"", ""fr"", ""grade-3"", ""diff-1""]",11200,MA.2.A.3,True,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
be43ec62-4fb3-495c-a3f3-83d81786358a,90db317f-4989-421b-b0e2-5888e06fd22d,d37e0fc8-da07-4191-a037-de021fc1ded9,true-false,d15fe1f7-7306-47d5-8a8d-58178d110b00,general-knowledge,4,4,en,,"At sea level, water boils at 100°C.",,,True,Boiling point of water at sea level is 100°C.,,,"[""general-knowledge"", ""true-false"", ""en"", ""grade-4"", ""diff-4""]",20400,NMG.5.1,True,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
45fbbb65-7c36-4a61-a9b4-031c6805f442,90db317f-4989-421b-b0e2-5888e06fd22d,d37e0fc8-da07-4191-a037-de021fc1ded9,true-false,d15fe1f7-7306-47d5-8a8d-58178d110b00,general-knowledge,5,1,de,,Auf Meereshöhe kocht Wasser bei 100°C.,,,True,Siedepunkt von Wasser auf Meereshöhe ist 100°C.,,,"[""general-knowledge"", ""true-false"", ""de"", ""grade-5"", ""diff-1""]",8000,NMG.6.1,True,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
e15eac3a-91ac-44ee-8603-65baeb0f9e41,90db317f-4989-421b-b0e2-5888e06fd22d,d37e0fc8-da07-4191-a037-de021fc1ded9,multiple-choice,9f9067f9-9e39-4e38-944f-6701b837981b,math,2,1,en,What is 9 × 12?,,"[""108"", ""110"", ""104"", ""111""]",0,,The correct result is 108.,,,"[""math"", ""arithmetic"", ""en"", ""grade-2"", ""diff-1""]",12800,MA.1.A.2,True,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
7f5f74c5-1d1e-4384-8789-c1e960084fec,90db317f-4989-421b-b0e2-5888e06fd22d,d37e0fc8-da07-4191-a037-de021fc1ded9,number-input,9f7cac5d-a898-4073-a7cb-458fe6289d23,language,4,3,en,How many letters are in the word 'giraffe'?,,,,7,Count the letters in the word.,,,"[""language"", ""spelling"", ""en"", ""grade-4"", ""diff-3""]",16800,D.5.A.1,True,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
ddfcb532-c866-45fb-9225-36438977e7e4,90db317f-4989-421b-b0e2-5888e06fd22d,d37e0fc8-da07-4191-a037-de021fc1ded9,multiple-choice,0a8b8797-918c-4893-bfab-6614dd7fd0c2,geography,4,3,fr,Sur quel continent se trouve Spain ?,,"[""Asia"", ""Antarctica"", ""Africa"", ""Europe""]",3,,Spain se trouve en Europe.,,,"[""geography"", ""continents"", ""fr"", ""grade-4"", ""diff-3""]",16800,NMG.8.4,True,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
78e7eb85-da3d-4ee8-ab6c-cbe5f88a5a56,90db317f-4989-421b-b0e2-5888e06fd22d,d37e0fc8-da07-4191-a037-de021fc1ded9,multiple-choice,d15fe1f7-7306-47d5-8a8d-58178d110b00,general-knowledge,3,3,fr,"Dans une chaîne alimentaire, qu'est-ce qui est une plante ?",,"[""Producteur"", ""Consommateur"", ""D\u00e9composeur"", ""Pr\u00e9dateur""]",0,,Les plantes sont des producteurs.,,,"[""general-knowledge"", ""fr"", ""grade-3"", ""diff-3""]",19600,NMG.4.1,True,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
